,FIPS,FOODINSEC_12_14,FOODINSEC_15_17,VLFOODSEC_12_14,VLFOODSEC_15_17
498,13227,15.7,13.0,6.2,4.4
499,13229,15.7,13.0,6.2,4.4
500,13231,15.7,13.0,6.2,4.4
501,13233,15.7,13.0,6.2,4.4
502,13235,15.7,13.0,6.2,4.4
503,13237,15.7,13.0,6.2,4.4
504,13239,15.7,13.0,6.2,4.4
505,13241,15.7,13.0,6.2,4.4
506,13243,15.7,13.0,6.2,4.4
507,13245,15.7,13.0,6.2,4.4
508,13247,15.7,13.0,6.2,4.4
509,13249,15.7,13.0,6.2,4.4
510,13251,15.7,13.0,6.2,4.4
511,13253,15.7,13.0,6.2,4.4
512,13255,15.7,13.0,6.2,4.4
513,13257,15.7,13.0,6.2,4.4
514,13259,15.7,13.0,6.2,4.4
515,13261,15.7,13.0,6.2,4.4
516,13263,15.7,13.0,6.2,4.4
517,13265,15.7,13.0,6.2,4.4
518,13267,15.7,13.0,6.2,4.4
519,13269,15.7,13.0,6.2,4.4
520,13271,15.7,13.0,6.2,4.4
521,13273,15.7,13.0,6.2,4.4
522,13275,15.7,13.0,6.2,4.4
523,13277,15.7,13.0,6.2,4.4
524,13279,15.7,13.0,6.2,4.4
525,13281,15.7,13.0,6.2,4.4
526,13283,15.7,13.0,6.2,4.4
527,13285,15.7,13.0,6.2,4.4
528,13287,15.7,13.0,6.2,4.4
529,13289,15.7,13.0,6.2,4.4
530,13291,15.7,13.0,6.2,4.4
531,13293,15.7,13.0,6.2,4.4
532,13295,15.7,13.0,6.2,4.4
533,13297,15.7,13.0,6.2,4.4
534,13299,15.7,13.0,6.2,4.4
535,13301,15.7,13.0,6.2,4.4
536,13303,15.7,13.0,6.2,4.4
537,13305,15.7,13.0,6.2,4.4
538,13307,15.7,13.0,6.2,4.4
539,13309,15.7,13.0,6.2,4.4
540,13311,15.7,13.0,6.2,4.4
541,13313,15.7,13.0,6.2,4.4
542,13315,15.7,13.0,6.2,4.4
543,13317,15.7,13.0,6.2,4.4
544,13319,15.7,13.0,6.2,4.4
545,13321,15.7,13.0,6.2,4.4
546,15001,12.3,7.4,4.0,2.9
547,15003,12.3,7.4,4.0,2.9
548,15005,12.3,7.4,4.0,2.9
549,15007,12.3,7.4,4.0,2.9
550,15009,12.3,7.4,4.0,2.9
551,16001,11.4,10.5,4.6,4.3
552,16003,11.4,10.5,4.6,4.3
553,16005,11.4,10.5,4.6,4.3
554,16007,11.4,10.5,4.6,4.3
555,16009,11.4,10.5,4.6,4.3
556,16011,11.4,10.5,4.6,4.3
557,16013,11.4,10.5,4.6,4.3
558,16015,11.4,10.5,4.6,4.3
559,16017,11.4,10.5,4.6,4.3
560,16019,11.4,10.5,4.6,4.3
561,16021,11.4,10.5,4.6,4.3
562,16023,11.4,10.5,4.6,4.3
563,16025,11.4,10.5,4.6,4.3
564,16027,11.4,10.5,4.6,4.3
565,16029,11.4,10.5,4.6,4.3
566,16031,11.4,10.5,4.6,4.3
567,16033,11.4,10.5,4.6,4.3
568,16035,11.4,10.5,4.6,4.3
569,16037,11.4,10.5,4.6,4.3
570,16039,11.4,10.5,4.6,4.3
571,16041,11.4,10.5,4.6,4.3
572,16043,11.4,10.5,4.6,4.3
573,16045,11.4,10.5,4.6,4.3
574,16047,11.4,10.5,4.6,4.3
575,16049,11.4,10.5,4.6,4.3
576,16051,11.4,10.5,4.6,4.3
577,16053,11.4,10.5,4.6,4.3
578,16055,11.4,10.5,4.6,4.3
579,16057,11.4,10.5,4.6,4.3
580,16059,11.4,10.5,4.6,4.3
581,16061,11.4,10.5,4.6,4.3
582,16063,11.4,10.5,4.6,4.3
583,16065,11.4,10.5,4.6,4.3
584,16067,11.4,10.5,4.6,4.3
585,16069,11.4,10.5,4.6,4.3
586,16071,11.4,10.5,4.6,4.3
587,16073,11.4,10.5,4.6,4.3
588,16075,11.4,10.5,4.6,4.3
589,16077,11.4,10.5,4.6,4.3
590,16079,11.4,10.5,4.6,4.3
591,16081,11.4,10.5,4.6,4.3
592,16083,11.4,10.5,4.6,4.3
593,16085,11.4,10.5,4.6,4.3
594,16087,11.4,10.5,4.6,4.3
595,17001,14.1,11.0,5.3,4.0
596,17003,14.1,11.0,5.3,4.0
597,17005,14.1,11.0,5.3,4.0
598,17007,14.1,11.0,5.3,4.0
599,17009,14.1,11.0,5.3,4.0
600,17011,14.1,11.0,5.3,4.0
601,17013,14.1,11.0,5.3,4.0
602,17015,14.1,11.0,5.3,4.0
603,17017,14.1,11.0,5.3,4.0
604,17019,14.1,11.0,5.3,4.0
605,17021,14.1,11.0,5.3,4.0
606,17023,14.1,11.0,5.3,4.0
607,17025,14.1,11.0,5.3,4.0
608,17027,14.1,11.0,5.3,4.0
609,17029,14.1,11.0,5.3,4.0
610,17031,14.1,11.0,5.3,4.0
611,17033,14.1,11.0,5.3,4.0
