,FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17,PCT_HSPA17,RECFACPTH11,RECFACPTH16
326,12013,11.6,15.5,25.2,28.4,22.799999999999997,0.0,0.0
327,12015,11.5,14.1,25.2,28.4,22.799999999999997,0.10007443,0.0561303
328,12017,12.4,14.6,25.2,28.4,22.799999999999997,0.0572389,0.0489545
329,12019,10.6,12.0,25.2,28.4,22.799999999999997,0.083207655,0.091681143
330,12021,8.8,8.6,25.2,28.4,22.799999999999997,0.091556367,0.128381977
331,12023,10.1,12.7,25.2,28.4,22.799999999999997,0.103997979,0.072177152
332,12027,9.9,13.7,25.2,28.4,22.799999999999997,0.0287406,0.0
333,12029,11.4,14.0,25.2,28.4,22.799999999999997,0.0,0.0
334,12031,10.4,11.2,25.2,28.4,22.799999999999997,0.092846786,0.093913945
335,12033,11.0,12.4,25.2,28.4,22.799999999999997,0.076829032,0.070578196
336,12035,10.5,12.4,25.2,28.4,22.799999999999997,0.041032,0.064932053
337,12037,10.2,11.0,25.2,28.4,22.799999999999997,0.08719156,0.084752945
338,12039,11.9,17.1,25.2,28.4,22.799999999999997,0.0,0.0
339,12041,9.5,8.4,25.2,28.4,22.799999999999997,0.0,0.0
340,12043,11.8,13.8,25.2,28.4,22.799999999999997,0.0,0.0
341,12045,9.7,11.1,25.2,28.4,22.799999999999997,0.0,0.0621118
342,12047,11.0,13.0,25.2,28.4,22.799999999999997,0.0,0.069812901
343,12049,12.0,12.6,25.2,28.4,22.799999999999997,0.0361572,0.036535
344,12051,8.6,13.7,25.2,28.4,22.799999999999997,0.0256799,0.07568113
345,12053,10.8,13.4,25.2,28.4,22.799999999999997,0.0578583,0.0548754
346,12055,12.8,14.2,25.2,28.4,22.799999999999997,0.081258697,0.068926131
347,12057,8.3,10.4,25.2,28.4,22.799999999999997,0.090462926,0.110015221
348,12059,12.3,14.2,25.2,28.4,22.799999999999997,0.0,0.0
349,12061,10.0,11.4,25.2,28.4,22.799999999999997,0.11503674,0.125510298
350,12063,11.5,12.4,25.2,28.4,22.799999999999997,0.0203318,0.0414147
351,12065,11.2,11.7,25.2,28.4,22.799999999999997,0.137750534,0.0
352,12067,10.0,13.2,25.2,28.4,22.799999999999997,0.0,0.0
353,12069,11.5,14.7,25.2,28.4,22.799999999999997,0.066553304,0.080493455
354,12071,10.8,9.9,25.2,28.4,22.799999999999997,0.0554607,0.076123935
355,12073,8.4,8.3,25.2,28.4,22.799999999999997,0.089815304,0.128886629
356,12075,11.2,14.1,25.2,28.4,22.799999999999997,0.074712357,0.0501869
