,FIPS,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13
2020,38061,65606.0,11.2,0,14.6,1,0
2021,38063,48196.0,11.6,0,16.5,0,0
2022,38065,65798.0,10.2,0,17.5,0,1
2023,38067,58683.0,8.8,0,11.2,0,0
2024,38069,43419.0,16.1,0,17.3,0,0
2025,38071,51607.0,12.0,0,16.8,0,0
2026,38073,60122.0,9.1,0,12.3,0,0
2027,38075,65651.0,7.6,0,8.1,0,0
2028,38077,56942.0,10.2,0,11.5,0,0
2029,38079,37634.0,25.5,1,31.7,1,0
2030,38081,58626.0,7.8,0,10.4,0,0
2031,38083,38234.0,17.6,0,18.7,1,0
2032,38085,32895.0,40.4,1,45.1,1,1
2033,38087,56833.0,9.0,0,9.0,0,0
2034,38089,76844.0,7.5,0,8.0,0,0
2035,38091,61352.0,7.8,0,12.1,0,0
2036,38093,54925.0,11.4,0,14.2,0,0
2037,38095,51561.0,10.4,0,15.2,0,0
2038,38097,54814.0,9.5,0,9.7,0,0
2039,38099,51749.0,10.8,0,13.3,0,0
2040,38101,61170.0,8.4,0,9.6,0,0
2041,38103,51857.0,10.4,0,11.7,0,0
2042,38105,89860.0,7.8,0,9.3,0,0
2043,39001,36609.0,21.3,0,29.3,1,0
2044,39003,49297.0,15.5,0,23.4,0,1
2045,39005,48338.0,14.1,0,20.1,0,0
2046,39007,44258.0,18.6,0,28.6,0,0
2047,39009,38400.0,31.5,1,29.1,1,0
2048,39011,58840.0,8.7,0,11.5,0,0
2049,39013,45675.0,14.6,0,21.1,0,1
2050,39015,47202.0,14.9,0,23.6,0,1
2051,39017,58954.0,14.4,0,18.3,0,1
2052,39019,52166.0,13.0,0,20.0,0,1
2053,39021,58837.0,10.8,0,16.2,0,0
2054,39023,47651.0,15.1,0,25.1,0,1
2055,39025,62214.0,9.5,0,13.5,0,1
2056,39027,47055.0,13.6,0,21.1,0,0
2057,39029,42301.0,14.7,0,22.3,0,0
2058,39031,41643.0,15.1,0,23.4,0,0
2059,39033,41471.0,16.5,0,24.4,0,0
2060,39035,45506.0,18.2,0,26.2,0,1
2061,39037,51131.0,9.6,0,15.2,0,0
2062,39039,53936.0,10.2,0,16.2,0,0
2063,39041,97679.0,4.4,0,4.7,0,1
2064,39043,48129.0,12.7,0,22.3,0,0
2065,39045,61450.0,9.1,0,12.4,0,1
2066,39047,45068.0,16.3,0,26.2,0,0
2067,39049,53939.0,17.1,0,24.5,0,1
2068,39051,58782.0,8.5,0,12.4,0,1
2069,39053,38738.0,21.7,0,32.4,0,0
2070,39055,76315.0,6.7,0,8.8,0,1
2071,39057,61250.0,12.7,0,16.2,0,1
2072,39059,41630.0,18.6,0,28.7,0,0
