,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17,PCT_HSPA17,RECFACPTH11,RECFACPTH16
306,5.5,6.4,20.5,22.6,27.400000000000006,0.088965218,0.078166685
307,6.4,6.1,20.5,22.6,27.400000000000006,0.0,0.0
308,6.8,7.6,25.6,26.9,22.299999999999997,0.191521824,0.227562208
309,7.9,9.6,25.6,26.9,22.299999999999997,0.125866305,0.158571162
310,7.5,6.7,25.6,26.9,22.299999999999997,0.132221964,0.114693305
311,7.4,8.4,25.6,26.9,22.299999999999997,0.150362373,0.159086598
312,8.5,9.0,25.6,26.9,22.299999999999997,0.099453584,0.134887956
313,7.8,9.2,25.6,26.9,22.299999999999997,0.095159319,0.115110264
314,6.4,7.2,25.6,26.9,22.299999999999997,0.104532121,0.092626286
315,9.1,10.1,25.6,26.9,22.299999999999997,0.118247238,0.103410834
316,11.4,12.8,26.9,31.8,25.099999999999994,0.090827071,0.085834945
317,7.9,9.0,26.9,31.8,25.099999999999994,0.160433133,0.166711183
318,11.2,13.2,26.9,31.8,25.099999999999994,0.134694916,0.14084955
319,8.3,8.1,21.9,22.9,13.400000000000006,0.120902221,0.14904959
320,8.2,8.3,25.2,28.4,22.799999999999997,0.120080694,0.13997072
321,12.2,13.0,25.2,28.4,22.799999999999997,0.073959027,0.071646068
322,10.7,11.2,25.2,28.4,22.799999999999997,0.076686664,0.098364956
323,11.3,14.4,25.2,28.4,22.799999999999997,0.070343275,0.074827896
324,11.1,11.7,25.2,28.4,22.799999999999997,0.080817135,0.09517234
325,9.3,9.5,25.2,28.4,22.799999999999997,0.088941545,0.106409503
326,11.6,15.5,25.2,28.4,22.799999999999997,0.0,0.0
327,11.5,14.1,25.2,28.4,22.799999999999997,0.10007443,0.0561303
328,12.4,14.6,25.2,28.4,22.799999999999997,0.0572389,0.0489545
329,10.6,12.0,25.2,28.4,22.799999999999997,0.083207655,0.091681143
330,8.8,8.6,25.2,28.4,22.799999999999997,0.091556367,0.128381977
331,10.1,12.7,25.2,28.4,22.799999999999997,0.103997979,0.072177152
332,9.9,13.7,25.2,28.4,22.799999999999997,0.0287406,0.0
333,11.4,14.0,25.2,28.4,22.799999999999997,0.0,0.0
334,10.4,11.2,25.2,28.4,22.799999999999997,0.092846786,0.093913945
335,11.0,12.4,25.2,28.4,22.799999999999997,0.076829032,0.070578196
336,10.5,12.4,25.2,28.4,22.799999999999997,0.041032,0.064932053
337,10.2,11.0,25.2,28.4,22.799999999999997,0.08719156,0.084752945
338,11.9,17.1,25.2,28.4,22.799999999999997,0.0,0.0
339,9.5,8.4,25.2,28.4,22.799999999999997,0.0,0.0
340,11.8,13.8,25.2,28.4,22.799999999999997,0.0,0.0
341,9.7,11.1,25.2,28.4,22.799999999999997,0.0,0.0621118
342,11.0,13.0,25.2,28.4,22.799999999999997,0.0,0.069812901
343,12.0,12.6,25.2,28.4,22.799999999999997,0.0361572,0.036535
344,8.6,13.7,25.2,28.4,22.799999999999997,0.0256799,0.07568113
345,10.8,13.4,25.2,28.4,22.799999999999997,0.0578583,0.0548754
346,12.8,14.2,25.2,28.4,22.799999999999997,0.081258697,0.068926131
347,8.3,10.4,25.2,28.4,22.799999999999997,0.090462926,0.110015221
348,12.3,14.2,25.2,28.4,22.799999999999997,0.0,0.0
349,10.0,11.4,25.2,28.4,22.799999999999997,0.11503674,0.125510298
350,11.5,12.4,25.2,28.4,22.799999999999997,0.0203318,0.0414147
351,11.2,11.7,25.2,28.4,22.799999999999997,0.137750534,0.0
352,10.0,13.2,25.2,28.4,22.799999999999997,0.0,0.0
353,11.5,14.7,25.2,28.4,22.799999999999997,0.066553304,0.080493455
354,10.8,9.9,25.2,28.4,22.799999999999997,0.0554607,0.076123935
355,8.4,8.3,25.2,28.4,22.799999999999997,0.089815304,0.128886629
356,11.2,14.1,25.2,28.4,22.799999999999997,0.074712357,0.0501869
357,10.3,13.4,25.2,28.4,22.799999999999997,0.0,0.120206756
358,12.0,15.6,25.2,28.4,22.799999999999997,0.0522848,0.0546269
359,9.0,10.6,25.2,28.4,22.799999999999997,0.064113719,0.095856088
360,12.0,12.6,25.2,28.4,22.799999999999997,0.0601853,0.0574483
361,9.0,11.3,25.2,28.4,22.799999999999997,0.155535719,0.126195704
362,9.1,7.9,25.2,28.4,22.799999999999997,0.087885354,0.10597312
363,8.6,8.6,25.2,28.4,22.799999999999997,0.202754761,0.245782883
364,10.3,10.8,25.2,28.4,22.799999999999997,0.175329755,0.137634193
365,9.5,9.7,25.2,28.4,22.799999999999997,0.098317675,0.140059525
366,10.8,11.6,25.2,28.4,22.799999999999997,0.0501832,0.0491437
367,9.5,8.8,25.2,28.4,22.799999999999997,0.070893817,0.108794362
368,9.1,12.0,25.2,28.4,22.799999999999997,0.032289,0.0473387
369,9.5,10.5,25.2,28.4,22.799999999999997,0.109942299,0.140325004
370,10.1,12.2,25.2,28.4,22.799999999999997,0.0621648,0.068552044
371,9.4,10.8,25.2,28.4,22.799999999999997,0.11866335,0.124726382
372,10.8,14.3,25.2,28.4,22.799999999999997,0.0590237,0.05697
